,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
57050,tt1331294,O Apóstolo,O Apóstolo,2012,2015-04-23,"Animation, Horror",80,Spain,"Spanish, Gallegan",Fernando Cortizo,Fernando Cortizo,Artefacto producciones,"Carlos Blanco, Xosé Manuel Olveira 'Pico', Paul Naschy, Jorge Sanz, Celso Bugallo, Geraldine Chaplin, Manuel Manquiña, Luis Tosar, Atilano Franco, Jacobo Rey, Pedro Alonso, Isabel Blanco","An escaped prison convict attempts to retrieve a loot hidden years ago in a lonely village. Sinister elders, strange disappearances, spirits, a peculiar priest and even the Archpriest of ...",6.8,594,EUR 5200000,,$ 59810,,2.0,16.0,2015
57160,tt1340138,Terminator Genisys,Terminator Genisys,2015,2015-07-09,"Action, Adventure, Sci-Fi",126,"USA, Canada",English,Alan Taylor,"Laeta Kalogridis, Patrick Lussier",Paramount Pictures,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney, J.K. Simmons, Dayo Okeniyi, Matt Smith, Courtney B. Vance, Byung-hun Lee, Michael Gladis, Sandrine Holt, Wayne Bastrup, Gregory Alan Williams, Otto Sanchez, Matty Ferraro","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",6.3,254807,$ 155000000,$ 89760956,$ 440603537,38.0,1062.0,517.0,2015
57307,tt1355683,Black Mass - L'ultimo gangster,Black Mass,2015,2015-10-08,"Biography, Crime, Drama",123,"USA, UK",English,Scott Cooper,"Mark Mallouk, Jez Butterworth",Cross Creek Pictures,"Johnny Depp, Joel Edgerton, Benedict Cumberbatch, Dakota Johnson, Kevin Bacon, Peter Sarsgaard, Jesse Plemons, Rory Cochrane, David Harbour, Adam Scott, Corey Stoll, Julianne Nicholson, W. Earl Brown, Bill Camp, Juno Temple","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",6.9,164665,$ 53000000,$ 62575678,$ 99775678,68.0,336.0,423.0,2015
57337,tt1361318,Good People,Good People,2014,2015-08-21,"Action, Crime, Thriller",90,"USA, UK, Denmark, Sweden",English,Henrik Ruben Genz,"Marcus Sakey, Kelly Masterson",Millennium Films,"Sam Spruell, Michael Fox, Diarmaid Murtagh, Francis Magee, Omar Sy, Maarten Dannenberg, Kate Hudson, Orlando Burns-Tucker, Bertram Burns-Tucker, Anna Friel, Michael Jibson, James Franco, Waj Ali, Tom Wilkinson, Diana Hardcastle","Discovering a stash of cash in their dead tenant's apartment, a couple in debt take the money and find themselves the target of a deadly adversary - the thief who stole it.",5.5,15257,,,$ 1857574,42.0,56.0,57.0,2015
57375,tt1365050,Beasts of No Nation,Beasts of No Nation,2015,2015-10-16,"Drama, War",137,USA,"English, Akan",Cary Joji Fukunaga,"Cary Joji Fukunaga, Uzodinma Iweala",Red Crown Productions,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote, Vera Nyarkoah Antwi, Ama K. Abebrese, Kobina Amissah-Sam, Francis Weddey, Fred Nii Amugi, John Arthur, Grace Nortey, Emmary Brown, Nataliah Andoh, Matthew Mpoke Bigg, Nana Mensah","A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",7.7,71634,$ 6000000,$ 90777,$ 90777,79.0,170.0,185.0,2015
57424,tt1370312,W.M.D.,W.M.D.,2013,2015-04-07,"Action, Thriller, War",81,USA,English,Richard Halpern,"Richard Halpern, Mike Le",Thousand Mile Media,"Tom Kiesche, John Posey, Weetus Cren, Leila Birch, John Brickner, Kate Mines, Jeff Prewett, Roy Abramsohn, Victoria Barabas, Ahmed Best, Darrell Britt-Gibson, Mark Chaet, Ashley Hinson, Scott Hoxby, Albert Kuo",The Iraq war has turned from 'Mission Accomplished' into a hellhole with an indeterminate outcome. There are no WMDs. No links to Al Qaeda. No imminent threat as promised by the ...,4.4,215,,,,,8.0,1.0,2015
57511,tt1379712,Alcatraz Prison Escape: Deathbed Confession,Alcatraz Prison Escape: Deathbed Confession,2015,2015-03-15,"Action, Crime",93,USA,English,John Edward Lee,"John Edward Lee, Daniel Zirilli",Pop Art Film Factory,"Danny Trejo, Ed O'Ross, Shelby Deekins, Mike Earp, Richard Gross, Michael Harding, J. Andrew Lee, Jeph Rants, Arthur D. Roderick, Tishuan Scott, Chris Weiss, Big Jim Willis, Daniel Day Willis, Daniel Zirilli","The true story, based on a Deathbed Confession, about what really happened to Frank Morris and the Anglin brothers who escaped from Alcatraz Prison in 1962. They made it- but what happened next is shocking. Investigated by the US Marshals.",5.3,151,,,,,5.0,,2015
57551,tt1382727,Segon origen,Segon origen,2015,2015-10-07,"Adventure, Horror, Sci-Fi",102,"Spain, UK","Catalan, English","Sergi Lara, Carles Porta","Bigas Luna, Carles Porta",Antàrtida Produccions,"Rachel Hurd-Wood, Andrés Batista, Albert Prat, Philip Hurd-Wood, Marieta Orozco, Éric Melé, Jorge Pinto, Pol Porta, Ibrahim Mané, Ángel Gabriel Segura, Erick Andrés Rosado, Arama Sabaly, Ava Sabaly, Sergi López, Dayron Vera",Alba (age 20) and Dídac (age 10) are the only survivors of a catastrophe that has devastated the planet. Their survival will mark a new beginning for humanity.,4.5,377,EUR 6000000,,$ 363922,,2.0,1.0,2015
57623,tt1390411,Heart of the Sea - Le origini di Moby Dick,In the Heart of the Sea,2015,2015-12-03,"Action, Adventure, Biography",122,"USA, Australia, Spain",English,Ron Howard,"Charles Leavitt, Charles Leavitt",Warner Bros.,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson, Ben Whishaw, Michelle Fairley, Tom Holland, Paul Anderson, Frank Dillane, Joseph Mawle, Edward Ashley, Sam Keeley, Osy Ikhile, Gary Beadle, Jamie Sives","A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",6.9,119224,$ 100000000,$ 25020758,$ 93920758,47.0,278.0,324.0,2015
57649,tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,2015,2015-05-14,"Action, Adventure, Sci-Fi",120,"Australia, South Africa","English, Russian",George Miller,"George Miller, Brendan McCarthy",Warner Bros.,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones, Zoë Kravitz, Rosie Huntington-Whiteley, Riley Keough, Abbey Lee, Courtney Eaton, John Howard, Richard Carter, Iota, Angus Sampson","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",8.1,856553,$ 150000000,$ 154058340,$ 375225175,90.0,2017.0,830.0,2015
57696,tt1398426,Straight Outta Compton,Straight Outta Compton,2015,2015-10-01,"Biography, Drama, History",147,USA,English,F. Gary Gray,"Jonathan Herman, Andrea Berloff",Universal Pictures,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge, Marlon Yates Jr., R. Marcos Taylor, Carra Patterson, Alexandra Shipp, Paul Giamatti, Elena Goode, Keith Powers, Joshua Brockington, Sheldon A. Smith, LaKeith Stanfield",The rap group,7.8,176177,$ 28000000,$ 161197785,$ 201634991,72.0,389.0,384.0,2015
