,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
72176,tt3676370,Breaking Dance,Breaking Through,2015,2015-08-19,"Drama, Music",101,USA,English,John Swetnam,John Swetnam,BB Film Productions,"Anitta, Sophia Aguiar, Larry Bourgeois, Laurent Bourgeois, Shaun J. Brown, Kelsey Crane, Lawrence Devera, Ian Eastwood, Jay Ellis, Kashif Gaines, Marissa Heart, Taylor Locascio, Keone Madrid, Mari Madrid, Elizabeth Helen Maqueda","When Casey, a dancer who is discovered on YouTube, gets thrust into the modern world of internet celebrity and culture, she must find a way to balance her true identity with her online persona, or risk losing everything she cares about.",4.4,351,,,$ 617208,,1.0,5.0,2015
72179,tt3678188,Ollaan vapaita,Ollaan vapaita,2015,2015-08-07,"Comedy, Drama, Family",105,Finland,Finnish,Oskari Sipola,Tua Harno,Pohjola-Filmi,"Maria Ylipää, Johannes Brotherus, Riku Nieminen, Anu Sinisalo, Pihla Maalismaa, Peter Kanerva, Timo Tuominen, Niina Koponen, Olavi Uusivirta, Dennis Nylund, Isla Mustanoja, Robert Brotherus, Laura Malmivaara, David Gelkin, Henry Hanikka",Selja is in her thirties and lives in a shared flat with her friends. One day a boy appears at her door; a boy she gave up for adoption sixteen years earlier. Selja has a chance to get to ...,5.1,203,EUR 1380000,,$ 155929,,,,2015
72180,tt3678192,Häiriötekijä,Häiriötekijä,2015,2015-09-11,Comedy,85,Finland,Finnish,Aleksi Salmenperä,"Aleksi Salmenperä, Samu Heikkilä",Mjölk Movies,"Tommi Korpela, Elina Knihtilä, Eero Ritala, Lotta Kaihua, Pirjo Lonka, Elena Leeve, Jani Volanen, Minna Haapkylä, Hannu-Pekka Björkman, Minna Suuronen, Laura Birn, Vilke, Ruut, Ari Nieminen, Teppo Suolanen",A series of absurd comedy sketches seemingly without a common story.,6.8,761,EUR 900000,,$ 237906,,2.0,,2015
72181,tt3678656,You're Ugly Too,You're Ugly Too,2015,2015-07-24,"Comedy, Drama",81,Ireland,"English, French",Mark Noonan,Mark Noonan,Savage Productions,"Aidan Gillen, Lauren Kinsella, George Pistereanu, Erika Sainte, Kate Aughey, Martina Babisova, Mathieu Belledent, Carmen Bernal, Brendan Caul, Ana Charruff, David Darcy, Nikki Darcy, Kate Dowling, Nora Duggan, Abbie Dunphy","After her mother's death, Stacey (Lauren Kinsella) moves with her uncle Will (Aiden Gillen) to a remote region in the Irish midlands. As the two cautiously get to know each other,they have ...",6.7,685,,,$ 88373,,2.0,32.0,2015
72182,tt3678782,Badlapur,Badlapur,2015,2015-02-20,"Action, Crime, Drama",134,India,Hindi,Sriram Raghavan,"Massimo Carlotto, Sriram Raghavan",Eros International,"Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam, Huma Qureshi, Neel Tyagi, Vinay Pathak, Radhika Apte, Pratima Kazmi, Divya Dutta, Kumud Mishra, Ashwini Kalsekar, Murli Sharma, Zakir Hussain, Avishek Lama, Amir Malik","An innocent man turns brutal when his family gets killed in a bank robbery and one of the perpetrators escapes. 15 years later, he begins his deadly game of vengeance.",7.4,21181,INR 250000000,$ 409166,$ 409166,,152.0,31.0,2015
72184,tt3679000,Any Body Can Dance 2,Any Body Can Dance 2,2015,2015-06-19,"Biography, Drama, Music",154,India,Hindi,Remo D'Souza,"Remo D'Souza, Tushar Hiranandani",160-H Productions,"Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb, Dharmesh Yelande, Punit Pathak, Raghav Juyal, Tisca Chopra, Jineet Rath, Akanksha Nehra, Prachi Shah, Mohit Abrol, Parthaa Akerkar, Pooja Batra, Leah Bayne","Based on the true story of the Fictitious Dance group; their rise to fame, sudden downfall, and their heroic attempt to seek vindication by regaining their lost pride and glory.",5.4,5222,,$ 892133,$ 1176958,,30.0,23.0,2015
72187,tt3680410,Last Cab to Darwin,Last Cab to Darwin,2015,2015-08-27,"Comedy, Drama, Romance",123,Australia,English,Jeremy Sims,"Reg Cribb, Reg Cribb",Last Cab Productions,"Michael Caton, Ningali Lawford, Mark Coles Smith, Emma Hamilton, Jacki Weaver, John Howard, Alan Dukes, David Field, Kelly Butler, Elliott Weston, Brian Taylor, Jeremy Cumpston, Christopher Stollery, Andrew Ryan, Mercia Deane-Johns","When Rex, a Broken Hill cab driver, is told he doesn't have long to live, he sets out on an epic journey to Darwin in a bid to die on his own terms.",7.2,3365,AUD 3992880,$ 34193,$ 5543036,70.0,42.0,29.0,2015
72189,tt3681078,Poison Pen,Poison Pen,2014,2015-03-01,"Comedy, Romance",95,Ireland,English,"Steven Benedict, Lorna Fitzsimons","Eoin Colfer, Graham Cantwell",Filmbase,"Lochlann O'Mearáin, Aoibhinn McGinnity, Paul Ronan, Aaron Heffernan, Susan Loughnane, Lauryn Canny, Mary Murray, Gemma-Leah Devereux, Ryan O'Shaughnessy, Sophie Vavasseur, Lynn Larkin, Lyn Lorken, Siobhan Bolton, Keith Anderson, Cian Boylan","When high-brow author PC Molloy is forced to write for April Devereaux's gossip magazine Poison Pen, he is not only caught up in a world of stars and their secrets he is also in danger of ...",6.3,146,,,,,2.0,,2015
72191,tt3681422,Uttama Villain,Uttama Villain,2015,2015-05-02,"Comedy, Drama",171,India,"Tamil, Telugu",Ramesh Aravind,"Kamal Haasan, Crazy Mohan",Raajkamal Films International,"Kamal Haasan, K. Balachander, K. Viswanath, Nassar, Jayaram, Urvashi, Pooja Kumar, Andrea Jeremiah, Parvathy Thiruvothu, Parvati Nair, M.S. Bhaskar, Chitra Lakshmanan, Ananth Narayan Mahadevan, Shanmugha Rajan, Gnanasambandam","Manoranjan, a superstar, is counting his last days due to brain tumor. How he goes about his final wish of doing a comedy film with his mentor Margadarsi forms the crux of the story.",7.2,2604,,,$ 110119,,37.0,4.0,2015
72198,tt3681470,Vai Raja Vai,Vai Raja Vai,2015,2015-05-01,"Comedy, Thriller",118,India,Tamil,Aishwarya Dhanush,"Aishwarya Dhanush, Madhan Karky",AGS Entertainment,"Gautham Karthik, Priya Anand, Taapsee Pannu, Vivek, Daniel Balaji, Sathish, Vasanth, Gayathri Raghuram, Sriranjani, Bose Venkat, M.S. Bhaskar, Manobala, Mayilsamy, Swaminathan, Besant Ravi",A man with the power of intuition gets into gambling.,5.6,570,,,,,4.0,1.0,2015
72201,tt3682448,Il ponte delle spie,Bridge of Spies,2015,2015-12-16,"Drama, History, Thriller",142,"Germany, India, USA","English, German, Russian",Steven Spielberg,"Matt Charman, Ethan Coen",DreamWorks,"Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Tom Hanks, Joshua Harto, Henny Russell, Rebekah Brockman, Alan Alda, John Rue, Billy Magnussen, Amy Ryan, Jillian Lebling, Noah Schnapp","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",7.6,281247,$ 40000000,$ 72313754,$ 165478348,81.0,467.0,504.0,2015
72203,tt3682686,Sabina K.,Sabina K.,2015,2015-09-01,Drama,125,"Bosnia and Herzegovina, USA",Bosnian,Cristobal Krusen,Cristobal Krusen,Messenger Films,"Alena Dzebo, Ana Andelic, Mugdim Avdagic, Jelena Basic, Senad Basic, Enis Beslagic, Hasija Boric, Miodrag Brezo, Svjetlana Brezo, Ante Cash, Jasna Diklic, Admir Glamocak, Rijad Gvozden, Cristobal Krusen, Mirvad Kuric","Sabina, a divorced mother of two small children, falls in love with an old friend from the Bosnian war. The two plan to marry, but things go terribly wrong.",6.4,101,,,,,3.0,1.0,2015
72204,tt3682770,San cheng ji,San cheng ji,2015,2015-08-28,Drama,130,China,Mandarin,Mabel Cheung,"Mabel Cheung, Alex Law",Edko Films,"Ching Wan Lau, Wei Tang, Hailu Qin, Boran Jing, Jue Huang, Elaine Jin, Jianyi Li, Gang Jiao, Philip Chan, Jing Wu, Yindi Zhang, Gang Cai, Piggy Chan, Michelle Feneberg, Anthony Gavard","A Hong Kong war romantic film set in World War II based on the real-life story of Jackie Chan's parents, Charles and Lee-Lee Chan.",6.0,218,$ 12000000,,$ 1871119,,,7.0,2015
72215,tt3684980,Hope,Hope,2014,2015-01-28,Drama,86,France,"English, French",Boris Lojkine,Boris Lojkine,Zadig Films,"Justin Whang, Endurance Newton, Nabyl Fally Koivogui, Abdessalam Hessoun, Didier Franklin Totti Bandong Kamol, Abdelaziz Nsangou, Hatem Benabdellah, Ndjaba Lavenir, Yvan René Page, Aimé Foe Mbarga, Arouna Mpempeme, Bruno Mbiene, Samuel Muzingo Msoumulu, Giresse Mabanzila, Azeddine Taoussi","On his clandestine journey from Cameroon to Europe through the Sahara desert, Léonard meets Hope, a Nigerian girl who's following the same dream.",6.7,160,,,,,1.0,6.0,2015
72216,tt3685022,Sotto accusa - Bad Blood,Bad Blood,2015,2015-03-28,"Action, Drama, Thriller",87,USA,English,Adam Silver,Ryan Rothmaier,National Picture Show Entertainment,"Taylor Cole, Billy Miller, Brett Rickaby, Jeff Kober, Christine Adams, Carly Chaikin, Neil Brown Jr., Danielle Kennedy, Rif Hutton, Davis Desmond, Jessica Gardner, Helena Barrett, Dylan Manger, John Suazo, Jose Resoto","Lauren's life is on a positive trajectory, until she is falsely accused of murder. Discovering that an obsessive serial killer with her exact DNA match has been knowingly implicating her in...",4.6,359,,,,,2.0,1.0,2015
72217,tt3685218,Félix et Meira,Félix et Meira,2014,2015-02-04,"Drama, Romance",105,Canada,"French, Yiddish, English, Spanish, Hebrew, Italian",Maxime Giroux,"Maxime Giroux, Alexandre Laferrière",Metafilms,"Martin Dubreuil, Hadas Yaron, Luzer Twersky, Melissa Weisz, Josh Dolgin, Nicola Vardaro, Sophie Weinbaum, Rivka Katz, Anne-Élisabeth Bossé, Benoît Girard, David Engle, Koralie Sénécal, Océane Sénécal, Pamela Sarti, Valérie Jeanneret","In Félix and Meira, an unusual romance blossoms between two lost souls who inhabit the same neighborhood but vastly different worlds.",6.7,1411,,$ 447353,$ 496714,66.0,11.0,50.0,2015
72219,tt3685328,How to Beat a Bully,How to Beat a Bully,2015,2015-10-01,Family,84,USA,English,Doug Bilitch,"Marilyn Anderson, Richard Rossner",Dream Factory Entertainment,"Grant McLellan, Eric Lauritzen, Elise Angell, Ian Tucker, Bryan Yoshi Brown, Kade Pait, Vince Donvito, Micah Lyons, Griffen Beebe, Robert E. Weiner, Kenn Schmidt, Ed Dyer, Pamela Munro, Amy Lyndon, Pearce Joza","This is a family comedy with an anti-bullying theme. When a new kid named Cory moves to town, he's picked on by the school bullies. To protect himself, he doesn't use his fists-he uses his ...",5.4,136,$ 1200000,,,,16.0,12.0,2015
72222,tt3685554,Alias María,Alias María,2015,2015-04-03,"Drama, War",91,"Colombia, Argentina, France",Spanish,José Luis Rugeles,Diego Vivanco,Rhayuela Cine,"Carlos Clavijo, Anderson Gomez, Carmenza González, Lola Lagos, Juan Carlos Ortega, Julio Pachón, Erik Ruiz, Karen Torres, Fabio Velazco","A vision of Colombia's inhuman armed conflict, seen through the eyes of a young - and pregnant - girl soldier.",6.1,340,$ 1356000,,$ 2208,,1.0,23.0,2015
72228,tt3685756,Ninja Torakage,Ninja Torakage,2014,2015-06-20,Action,94,Japan,Japanese,Yoshihiro Nishimura,"Yoshihiro Nishimura, Jun Tsugita",Nishimura Motion Picture Model Makers Group,"Yuria Haga, Tatsuki Ishikawa, Ryohei Kuroyanagi, Ryô Matsuura, Masanori Mimoto, Mao Mita, Maki Mizui, Seminosuke Murasugi, Takashi Nishina, Takumi Saitoh, Nana Seino, Eihi Shiina, Kentarô Shimazu, Miyuki Torii, Kanji Tsuda",A former Ninja must outplay his former Mastress and an evil lord to free his family from certain death.,5.4,169,,,,,1.0,6.0,2015
72229,tt3685818,Viikossa aikuiseksi,Viikossa aikuiseksi,2015,2015-01-23,Comedy,90,Finland,Finnish,Johanna Vuoksenmaa,Johanna Vuoksenmaa,Dionysos Films,"Minttu Mustakallio, Taneli Mäkelä, Eppu Salminen, Iina Kuustonen, Minna Koskela, Essi Hellén, Jarkko Pajunen, Jarkko Niemi, Lauri Tanskanen, Annaleena Sipilä, Leoline Ragnar Rohkea IV, Mika Kujala, Maria Hannonen, Dodo Oltrecolli, Jouko Nivalinna","Adult Camp is a comedy about the bumpy road to personal growth. A group of men and women, strangers to each other, choose to spend a different kind of summer holiday week by traveling to ...",5.4,395,EUR 1500000,,$ 1140091,,,1.0,2015
72244,tt3687186,Heaven Knows What,Heaven Knows What,2014,2015-05-29,"Crime, Drama",97,USA,"English, Spanish, Italian","Benny Safdie, Josh Safdie","Arielle Holmes, Josh Safdie",Elara Pictures,"Arielle Holmes, Caleb Landry Jones, Buddy Duress, Necro, Isaac Adams, Diana Singh, Benjamin Hampton, Manny Aguila, Eleonore Hendricks, Yuri Pleskun, Maynard Nicholl, Brian Hodges, Misty Mccall, Mike Patellis, Aaron Keller",A young woman struggles to reconcile her loves of her life: her boyfriend and heroin. She finds out that suicide is the only way for her boyfriend to forgive her for her misdeed.,6.8,6256,,$ 80734,$ 84417,75.0,25.0,68.0,2015
72246,tt3687310,Criminal Activities,Criminal Activities,2015,2015-11-20,"Crime, Drama, Thriller",94,USA,English,Jackie Earle Haley,Robert Lowell,Capacity Pictures,"Michael Pitt, Dan Stevens, Christopher Abbott, Rob Brown, Edi Gathegi, Jackie Earle Haley, John Travolta, Morgan Wolk, Travis Aaron Wade, Alan B. Jones, Chris Haley, Christopher Jay Gresham, Bobby C. King, Tyrone Jenkins, Rex Baker",Four young men make a risky investment together that puts them in trouble with the mob.,5.8,8245,$ 7000000,,$ 171494,51.0,52.0,58.0,2015
72248,tt3687398,The Runner,The Runner,2015,2015-08-07,Drama,90,USA,English,Austin Stark,Austin Stark,Paper Street Films,"Nicolas Cage, Sarah Paulson, Peter Fonda, Connie Nielsen, Wendell Pierce, Bryan Batt, Christopher Berry, Ciera Payton, Fredric Lehne, James Moses Black, Donna Duplantier, Brooke Hoover, Darcel White Moreno, Kerry Kahill, Marcus Lyle Brown","In the aftermath of the 2010 BP oil spill, an idealistic but flawed politician is forced to confront his dysfunctional life after his career is destroyed in a sex scandal.",4.7,4972,$ 6000000,,$ 93296,39.0,31.0,38.0,2015
72252,tt3688406,A Christmas Horror Story,A Christmas Horror Story,2015,2015-10-02,"Fantasy, Horror, Mystery",99,Canada,English,"Grant Harvey, Steven Hoban","James Kee, Sarah Larsen",Entertainment One,"William Shatner, George Buza, Rob Archer, Zoé De Grand Maison, Alex Ozerov, Shannon Kook, Amy Forsyth, Jeff Clarke, Michelle Nolden, Adrian Holmes, Olunike Adeliyi, Orion John, A.C. Peterson, Percy Hynes White, Corinne Conley","Interwoven stories that take place on Christmas Eve, as told by one festive radio host: A family brings home more than a Christmas tree, a student documentary becomes a living nightmare, a Christmas spirit terrorizes, Santa slays evil.",5.7,8949,,,,49.0,64.0,103.0,2015
72256,tt3689910,Sarusuberi: Miss Hokusai,Sarusuberi: Miss Hokusai,2015,2015-05-09,"Animation, Biography, Drama",93,Japan,Japanese,"Keiichi Hara, Stephanie Sheh","Hinako Sugiura, Miho Maruo",Asatsu-DK,"Erica Lindbeck, Anne Watanabe, Richard Epcar, Yutaka Matsushige, Gaku Hamada, Ezra Weisz, Robbie Daymond, Kengo Kôra, Barbara Goodson, Jun Miho, Courtney Chu, Shion Shimizu, Marc Diraison, Michitaka Tsutsui, Kumiko Asô","The life and works of Japanese artist and ukiyo-e painter Katsushika Hokusai, as seen from the eyes of his daughter, Katsushika O-Ei.",6.7,2805,,$ 222670,$ 377702,74.0,20.0,82.0,2015
72262,tt3693878,Le tournoi,Le tournoi,2015,2015-04-29,"Drama, Sport",83,France,"French, English, Hungarian",Elodie Namer,Elodie Namer,24 Mai Productions,"Michelangelo Passaniti, Lou de Laâge, Magne-Håvard Brekke, Viktoria Kozlova, Adam Corbier, Fabien Libiszewski, Aliocha Schneider, Thomas Solivérès, Péter Horkay, Declan Hannigan, László Konter, Ana Neborac, Magdalena Korpas, Victoire Gonin-Labat, Jean-Philippe Puymartin","Budapest International Chess Tournament. The most likely winner: Cal Fournier (22), French champion, immature genius, socially awkward, compulsive player. But this time, an unusual 9-...",5.8,390,,,,,3.0,17.0,2015
72263,tt3693936,Once Upon a Time in Bihar,Once Upon a Time in Bihar,2015,2015-10-30,Thriller,122,India,Hindi,Nitin Chandra,Nitin Chandra,Champaran Talkies,"Kranti Prakash Jha, Pankaj Jha, Ajay Kumar, Aarti Puri, Deepak Singh, Ashish Vidyarthi","This story is based on real incidents, set in the year 2003 - 2004 in ravenous terrains of Buxar District of Bihar.",7.1,177,INR 16000000,,,,4.0,,2015
72268,tt3695514,49-o,49-o,2015,2015-09-17,"Comedy, Drama",128,India,Tamil,P. Arokiyadoss,P. Arokiyadoss,Zero Rules Entertainment,"Goundamani, Motta Rajendran, Chaams, Bala Singh, Guru Somasundaram, Thirumurugan, Jayabalan, Alwa Vasu","Goundamani, the 'counter king, makes a comeback this time with a lead role dealing with the nuances of local politics",6.4,199,,,,,2.0,,2015
72272,tt3696218,Von glücklichen Schafen,Von glücklichen Schafen,2015,2015-03-26,Drama,96,Germany,German,Kadir Sözen,"Kadir Sözen, Kadir Sözen",Filmfabrik,"Narges Rashidi, Marlene Metternich, Jascha Baum, Vedat Erincin, Benno Fürmann, David Hürten, Pauline Fuchs, Hans Martin Stier, Erhan Emre, Anna Thalbach","The perfect world of a small family breaks, when Can discover that his mother works in a brothel. In a maelstrom of anger, guilt and despair Mother and son are forced to forgive himself.",6.1,149,,,,,1.0,10.0,2015
72281,tt3697946,Napapiirin sankarit 2,Napapiirin sankarit 2,2015,2015-09-30,Comedy,87,Finland,Finnish,Teppo Airaksinen,"Pekko Pesonen, Pekko Pesonen",Yellow Film & TV,"Jussi Vatanen, Pamela Tola, Timo Lavikainen, Miia Nuutila, Kari Ketonen, Santtu Karvonen, Joonas Nordman, Pinja Pakisjärvi, Peter Franzén, Anna-Leena Härkönen, Janne Reinikainen, Kari Hietalahti, Juho Milonoff, Erkki Hetta, Sinikka Mokkila","It's been three years since we last met Janne and Inari. Since then, they've had a daughter named Lumi. Janne and his friends experience a new adventure, this time on an autumn night. The ...",6.0,1586,EUR 1600000,,$ 4791063,,3.0,1.0,2015
72283,tt3698118,Gangnam 1970,Gangnam 1970,2015,2015-01-21,"Action, Drama",135,South Korea,Korean,Ha Yoo,Ha Yoo,Sega Sammy Entertainment,"Min-Ho Lee, Rae-won Kim, Jin-young Jung, Ji-Soo Kim, Byung Mo Choi, Gwi-hwa Choi, Jin-ho Choi, Kim Dae-Jong, Hyo-Seob Eom, Jae-young Han, Joo Hee-Joong, Sung-Woong Hwang, Kim Tae Hyun, Jang In-ho, Hyuk-jin Jang","Jong-Dae and Yong-Ki make a living by picking up paper and empty bottles. Both then join different gangster clan and becomes involved in a struggle of political interests over development in Gangnam, Seoul.",6.2,1435,,$ 18022,$ 16191434,,11.0,18.0,2015
72286,tt3698558,L'odio che uccide,Some Kind of Hate,2015,2015-09-18,Horror,82,USA,English,Adam Egypt Mortimer,"Brian DeLeeuw, Adam Egypt Mortimer",Caliber Media Company,"Andrew Bryniarski, Justin Prentice, Ronen Rubinstein, Matt Beene, Josh Ethier, Michael Polish, Gracie Gillam, Maestro Harrell, Lexi Atkins, Brando Eaton, Jeremy Hawkins, Jasper Polish, Spencer Breslin, Sierra McCormick, Dave Reeves","A bullied teenager is sent to a reform school where he accidentally summons the spirit of a girl, herself a victim of bullying, who takes vengeance on his tormentors.",4.6,2335,,,,28.0,28.0,71.0,2015
72289,tt3699684,World War Dead: Rise of the Fallen,World War Dead: Rise of the Fallen,2015,2015-05-04,Horror,80,UK,English,"Freddie Hutton-Mills, Bart Ruspoli","Freddie Hutton-Mills, Sebastian Marescotto",Atomic Level Films,"Philip Barantini, Robert Bladen, Kacey Clarke, Sólveig Eva, Kyle Frank, Marco Gambino, Wendy Glenn, Ovidiu Lapusneanu, Davide Manganelli, Aidan O'Callaghan, Ray Panthaki, Ben Shafik, Samuel Vaughan, Sam Wilkinson","To celebrate the centenary of WW1, a TV Documentary team travels to the Somme to put together a ratings smash about new mysteries relating to the famous battle. However, what they unearth ...",3.3,282,,,,,12.0,7.0,2015
72290,tt3699692,Dude Bro Party Massacre III,Dude Bro Party Massacre III,2015,2015-07-07,"Comedy, Horror",91,USA,English,"Tomm Jacobsen, Michael Rousselet","Alec Owen, Ben Gigli",5-Second Films,"Alec Owen, Ben Gigli, Olivia Taylor Dudley, Erik Sandoval, Chelsea St. John, Skyler Rousselet, Larry King, Logan Olson, Jon Worley, Matt Hargreaves, Greg Sestero, Ian Ahern, Lily Cade, Laura Lee Cebrick, Ela Darling","In the wake of two back-to-back mass murders on Chico's frat row, loner Brent Chirino must infiltrate the ranks of a popular fraternity to investigate his twin brother's murder at the hands of the serial killer known as ""Motherface.""",6.0,1780,$ 400000,,,,24.0,36.0,2015
72292,tt3700038,Project-M,Projet-M,2014,2015-02-03,"Drama, Sci-Fi",98,Canada,French,Eric Piccoli,"Julien Deschamps Jolin, Eric Piccoli",Babel films,"Jean-Nicolas Verreault, Julie Perreault, Julien Deschamps Jolin, Nadia Essadiqi, Pierre Verville, Marie-Ginette Guay, Roberto Mei, Ted Pluviose, Raphaël Lacaille, Hubert Gagnon, Catherine Lavoie, Michel Valliéres, Philip Dreher","Four astronauts have to stay 1000 days in a space station around Earth in order to prove that a trip to Europa, one of Jupiter's moon, is possible. The experience goes well until something happens on earth.",4.8,343,,,,,4.0,14.0,2015
72299,tt3700594,Bait,Bait,2014,2015-09-04,"Drama, Thriller",82,UK,English,Dominic Brunt,Paul Roundell,Mitchell-Brunt Films,"Victoria Smurfit, Adam Fogerty, Rula Lenska, Kerry Bennett, Joanne Mitchell, Jonathan Slinger, Andrew Dunn, Lee Hardcastle, Ross Adams, Geoffrey Newland, Charlie Chuck, Mark Rathbone, Andrew Squires, Anthony Mark Streeter, Emma Hewitt","Bex and Dawn are trapped. They dream of taking control of their lives and owning their own upmarket cafe, but no one will give people like them the opportunity.",5.7,476,GBP 180000,,,,16.0,27.0,2015
72302,tt3701160,Diamond Tongues,Diamond Tongues,2015,2015-01-25,"Comedy, Drama",100,Canada,English,"Pavan Moondi, Brian Robertson","Pavan Moondi, Pavan Moondi",Draper Street Films,"Leah Fay Goldstein, Abe Sanjakdar, Morgan Osbourne, Catherine Stockhausen, Nick Flanagan, Matt Hansen, Breen Godfrey, Ashley Tredenick, Bo Martynowska, Leah Wildman, Marcus O'Hara, Sarah Haywood, Adam Gurfinkel, Julian Carrington, Noah R. Taylor","Edith dreams of being a successful actress but just can't seem to make things happen. When she can't figure out what she's doing wrong, she begins to do everything wrong.",5.8,179,,,,75.0,4.0,11.0,2015
72311,tt3703148,Christmas Eve,Christmas Eve,2015,2015-12-04,Comedy,95,USA,English,Mitch Davis,"Mitch Davis, Tyler McKellar",Unstuck,"Patrick Stewart, Gary Cole, Roxy Cook, James Roday Rodriguez, Jon Heder, Cheryl Hines, Steve John Shepherd, Taylor James, Margaret Clunie, Lex Shrapnel, Max Casella, Julianna Guill, Juliet Aubrey, Jenny Oaks Baker, Simon Chadwick","Hilarity, romance, and transcendence prevail after a power outage traps six different groups of New Yorkers inside elevators on Christmas Eve.",5.0,2250,,$ 91302,$ 164839,24.0,22.0,10.0,2015
72314,tt3703866,Piccole pesti e la febbre dell'oro,Min søsters børn og guldgraverne,2015,2015-02-05,Adventure,81,"Canada, Denmark",Danish,"Niels Nørløv Hansen, Niels Nørløv Hansen","Claudia Boderke, Eric Leca",Obel Film,"Rasmus Botoft, Lærke Winther, Rose Marie Nemeth Kipling, Magnus Nørgaard Larsen, Carl Nygaard, Rosita Nellie Holse Gjurup, Thedor Krosby Chieu, Lone Hertz, Zlatko Buric, Frederik Winther Rasmussen, Nils Hognestad, Signe Skov, Troels Malling Thaarup, Bo Svenson, Laura Drasbæk",,4.7,164,DKK 35000000,,$ 7184142,,,,2015
72319,tt3704416,Un tranquillo weekend di mistero,Digging for Fire,2015,2015-08-21,"Comedy, Drama",85,USA,"English, Spanish",Joe Swanberg,"Jake Johnson, Joe Swanberg",Garrett Motion Pictures,"Jake Johnson, Rosemarie DeWitt, Jude Swanberg, Alicia Van Couvering, Timothy Simons, Jenny Slate, Jeff Baena, Mike Birbiglia, Steve Berg, Kent Osborne, Sam Rockwell, Chris Messina, Anna Kendrick, Brie Larson, Judith Light",The discovery of a bone and a gun send a husband and wife on separate adventures over the course of a weekend.,5.8,5567,,$ 119364,$ 119364,69.0,27.0,70.0,2015
72325,tt3705388,Il nome del figlio,Il nome del figlio,2015,2015-01-22,Comedy,94,Italy,Italian,Francesca Archibugi,"Matthieu Delaporte, Alexandre de La Patellière",Indiana Production,"Alessandro Gassmann, Micaela Ramazzotti, Valeria Golino, Luigi Lo Cascio, Rocco Papaleo, Carolina Cetroli, Raffaele Vannoli","Paolo and his wife are waiting a baby and deciding his name, but it seems that Paolo's family and friends don't really like the chosen name.",6.4,1204,,,$ 3219351,,,11.0,2015
72326,tt3705412,Deathgasm,Deathgasm,2015,2015-10-02,"Action, Comedy, Horror",86,"New Zealand, USA",English,Jason Lei Howden,Jason Lei Howden,Metalheads,"Milo Cawthorne, James Joshua Blake, Kimberley Crossman, Sam Berkley, Daniel Cresswell, Delaney Tabron, Stephen Ure, Colin Moy, Jodie Rimmer, Nick Hoskins-Smith, Erroll Shand, Kate Elliott, Aaron McGregor, Andrew Laing, Tim Foley",Two teenage boys unwittingly summon an ancient evil entity known as The Blind One by delving into black magic while trying to escape their mundane lives.,6.3,15502,,,,65.0,81.0,174.0,2015
72330,tt3707106,By the Sea,By the Sea,2015,2015-11-12,"Drama, Romance",122,"France, Malta, USA","English, French, Ukrainian",Angelina Jolie,Angelina Jolie,Universal Pictures,"Brad Pitt, Angelina Jolie, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer, Marika Green, Sarah Naudi, Aldo Buontempo, Philippe Martinet, Francis Xuereb, Malcolm Beethans, Kathleen Beethans, Bjorn Kubin, Penny Dix",A couple tries to repair their marriage while staying at a hotel in France.,5.3,18130,$ 10000000,$ 538460,$ 3334927,44.0,127.0,144.0,2015
72332,tt3707396,Hedi Schneider steckt fest,Hedi Schneider steckt fest,2015,2015-05-07,"Comedy, Drama",90,"Germany, Norway","German, German Sign Language",Sonja Heiss,Sonja Heiss,Komplizen Film,"Laura Tonke, Hans Löw, Leander Nitsche, Melanie Straub, Simon Schwarz, Margarita Broich, Matthias Bundschuh, Rosa Enskat, Urs Jucker, Jakob Bieber, Alex Brendemühl, Thomas Zander, Kathleen Morgeneyer, Robert Hofmann, Christine Rollar",A young woman comes down with panic disorder and has to come to terms with this.,6.4,373,,,$ 24788,,1.0,30.0,2015
72341,tt3710778,Beyond Glory,Beyond Glory,2015,2015-10-14,War,78,USA,English,Larry Brand,"Stephen Lang, Stephen Lang",Young Gunner Films,"Stephen Lang, Gary Sinise",Follows acclaimed actor Stephen Lang as he tracks the ten year odyssey behind his one-man show about eight medal of honor recipients.,7.3,128,,,,,1.0,7.0,2015
